gene	impact_max_l2
KIAA1257	0.40563344298944176
ERMN	0.02595147228304234
KLHL21	0.01895449437213163
CASS4	0.018442099527722605
HAL	0.018293688173530505
TTC18	0.0182888294211789
KCNK7	0.01791596441642222
CCDC19	0.017909336572581654
ARAP3	0.017839450525964768
TIGD3	0.01776416033761299
CD86	0.01770962790939335
GOT1	0.017667186554103105
KIAA0087	0.017665713927119516
LOC100507006	0.01760886851818123
INHBB	0.01757924964789722
VNN3	0.017278753775463136
SNORA21	0.017212125529969684
KIAA0319L	0.017007932796584135
RAF1	0.016901545206838276
RELL1	0.016626208745819545
UBN1	0.016170414989288968
MME	0.016129920517392676
RPGRIP1	0.01591392100174601
EMR3	0.015590124541307005
LRWD1	0.015555886983475504
RUNX2	0.006677158039294874
TGM3	0.005515933497305976
RTN1	0.004898481073194343
ISY1-RAB43	0.0048302060560970785
CCDC153	0.004801054832447776
PLEKHG3	0.00479863689772127
MIRLET7BHG	0.004762509394360918
LRRC6	0.004557256863091642
PPP1R12B	0.004519396996786529
MID1IP1	0.0044926288511221955
GLI3	0.004355971774704288
IRS2	0.004346389005883965
ITPKB-IT1	0.004320500112830013
MADCAM1	0.004228587040875838
CHI3L1	0.004142676567876274
SPATA2L	0.0038006510426014974
C1QA	0.0037455555760360026
PPP6R1	0.0036980007636905213
SPAG9	0.0036458845550055843
RPS6KA5	0.003564263032639448
VPS18	0.003517521074828673
IFRD1	0.0034991968128604044
ALDH1A1	0.0034894626698907623
BTNL3	0.003460936398132334
FOSB	0.003437939072645175
KIAA1841	0.003436336539432044
F11R	0.0033728244623157217
CD22	0.0033579347228123676
SPARCL1	0.003351950721845124
L2HGDH	0.0033506377801440896
GRAMD1C	0.003346068612764814
CPSF3L	0.003340674739626711
CCDC147	0.0033387173606784734
BTG2	0.0033349001426363875
HECW2	0.0033032436788160576
EPHB1	0.0032928121914903162
ATG2A	0.0032695736546592725
PRKDC	0.00324199531655933
SCYL1	0.0032194321065369424
BBC3	0.003195414091229239
NFASC	0.0031307946754113893
KIR3DL3	0.0031183674560180037
TUFT1	0.0030763014567512233
ZNF230	0.003032238289371342
AREG	0.0030320593709628513
CR2	0.003024655238550818
PIK3IP1	0.003008397329965012
HMBOX1	0.003001155060628119
PLA2G7	0.002979125516515971
VMO1	0.0029465670818029977
ALG2	0.0029270871106663464
SLC1A3	0.0028939323642338546
TMEM184B	0.002889290790827865
SAP30	0.0028794960203069753
TIGIT	0.00286673261712408
HS3ST1	0.0028449949737324367
NUP133	0.0028413930232029506
NSMAF	0.0028325375382631745
GJB4	0.0028277521191303816
PIM2	0.0028243717697966153
C1QC	0.0028097339447334924
MCM9	0.0028060670103344475
PRO0471	0.0027971415529047363
LRRC2	0.0027908157191501855
MYBPH	0.002761165963542584
P2RY12	0.0027600556512988052
THRB	0.0027483806743770975
CYMP	0.0027438264385162745
NRG1	0.002740913665094984
FOXK2	0.0027263478111234436
EXOC3L4	0.0027171001203616886
KALRN	0.0027122447270903787
IKZF3	0.0027092379852553666
NOV	0.002685437739270563
UPK3A	0.0026779125916617137
SEMA6B	0.0026730174653906385
LOC100131043	0.00267079185778037
APOA5	0.0026472690325458773
CHSY1	0.00260823518039513
GK5	0.0025963082875750144
SYAP1	0.00255191788717215
HPGD	0.0025474084929715795
CCDC66	0.0025125776094360526
ZNF222	0.0024995016300237358
COL8A2	0.002487584005652719
DNAJB1	0.0024677148967917634
PRDM8	0.002436897661000964
RFC3	0.0024067931501892174
ACVRL1	0.002400327345695318
MYOM2	0.0023956714446910967
ADAMTS2	0.002387796894278056
CCDC151	0.0023816736603678077
DNAH12	0.002346375811328017
C1QB	0.0023447401177094517
CCDC7	0.0023400273100742746
RGS1	0.0023096718471253565
SYN2	0.0022985956898364753
OXR1	0.0022924129717740633
STYXL1	0.002280490457867349
TRIB1	0.0022710999363019426
P2RY1	0.002264888230357535
IL10	0.002262744034061304
S1PR5	0.002236272735684395
BTLA	0.0022362468528855073
VSIG4	0.002229257922154475
FAM107A	0.0022276863631039445
NEK10	0.0022232787079300444
JOSD1	0.0022232067594990684
GPR174	0.0021879987246119265
ZNF793	0.0021875656571137044
PRL	0.0021804512781506834
MINPP1	0.002172846112275813
BTBD18	0.002158963320725803
FGF9	0.0021571390658281448
IKBKB	0.0021542409215927123
ARFGAP3	0.0021258787588275237
RGS9	0.0021168251695913133
BTC	0.0020921814029322542
DUSP2	0.0020917595599180003
CREM	0.002084558796694664
STMN2	0.002080374400492671
DRD5	0.001980188637100851
COL6A6	0.0019593215136156196
KLF8	0.0019246241291351995
KIR3DL1	0.001919155982877816
MALAT1	0.0019181361520484034
SYT1	0.0018456444890079765
LOC100507616	0.0017964023670061884
KIR2DL2	0.001776642651048157
KIR2DL5A	0.0016049162413567586
KIR2DS4	0.001442594529403602
SPHKAP	0.0012750683946699203
MUC13	0.0007003866924663242
LOC100506403	0.00032698325772209403
XG	0.0001308894903695937
KRTAP4-6	0.0
PYGO1	0.0
SAG	0.0
LRRC31	0.0
